"Year","Day","Hour_Minute","Seconds","BattV","SC","Cond_uncorr","Temp"
2015,191,1546,4,12.83,1556.1,1415.7,20.49
2015,191,1546,6,12.83,1556.5,1415.7,20.479
2015,191,1546,8,12.83,1556.1,1415.7,20.49
2015,191,1546,10,12.83,1556.5,1415.7,20.479
2015,191,1546,12,12.83,1549.1,1409.4,20.49
2015,191,1546,14,12.83,1554.3,1414.1,20.49
2015,191,1546,16,12.83,1556.9,1415.7,20.467
2015,191,1546,18,12.83,1550,1410.2,20.49
2015,191,1546,20,12.83,1550,1410.2,20.49
2015,191,1546,22,12.83,1552.6,1412.6,20.49
2015,191,1546,24,12.83,1556.5,1415.7,20.479
2015,191,1546,26,12.83,1555.7,1415.7,20.502
2015,191,1546,28,12.83,1556.1,1415.7,20.49
2015,191,1546,30,12.83,1556.5,1415.7,20.479
2015,191,1546,32,12.83,1556.1,1415.7,20.49
2015,191,1546,34,12.83,1556.5,1415.7,20.479
2015,191,1546,36,12.83,1556.1,1415.7,20.49
2015,191,1546,38,12.83,1556.5,1415.7,20.479
2015,191,1546,40,12.83,1555.7,1415.7,20.502
2015,191,1546,42,12.83,1556.5,1415.7,20.479
2015,191,1546,44,12.83,1557,1416.5,20.49
2015,191,1546,46,12.82,1557.3,1416.5,20.479
2015,191,1546,48,12.83,1556.5,1415.7,20.479
2015,191,1546,50,12.83,1556.6,1416.5,20.502
2015,191,1546,52,12.83,1556.9,1415.7,20.467
2015,191,1546,54,12.83,1556.5,1415.7,20.479
2015,191,1546,56,12.83,1557,1416.5,20.49
2015,191,1546,58,12.83,1557,1416.5,20.49
2015,191,1547,0,12.83,1550.4,1410.2,20.479
2015,191,1547,2,12.82,1550.9,1411,20.49
2015,191,1547,4,12.82,1553,1412.6,20.479
2015,191,1547,6,12.83,1557,1416.5,20.49
2015,191,1547,8,12.82,1556.1,1415.7,20.49
2015,191,1547,10,12.83,1556.5,1415.7,20.479
2015,191,1547,12,12.82,1556.1,1415.7,20.49
2015,191,1547,14,12.83,1556.5,1415.7,20.479
2015,191,1547,16,12.83,1556.1,1415.7,20.49
2015,191,1547,18,12.83,1556.1,1415.7,20.49
2015,191,1547,20,12.83,1557.3,1416.5,20.479
2015,191,1547,22,12.82,1558.2,1417.3,20.479
2015,191,1547,24,12.82,1552.6,1412.6,20.49
2015,191,1547,26,12.83,1558.2,1417.3,20.479
2015,191,1547,28,12.82,1562.2,1421.3,20.49
2015,191,1547,30,12.83,1561.7,1420.5,20.479
2015,191,1547,32,12.83,1567.4,1426.1,20.49
2015,191,1547,34,12.83,1578.5,1436.5,20.502
2015,191,1547,36,12.82,1598.4,1454.3,20.49
2015,191,1547,38,12.82,1614.2,1469,20.502
2015,191,1547,40,12.82,1636.9,1489.7,20.502
2015,191,1547,42,12.81,1682.4,1530.3,20.479
2015,191,1547,44,12.82,1706.6,1552.7,20.49
2015,191,1547,46,12.83,1751.6,1592.4,20.456
2015,191,1547,48,12.83,1795.5,1633.1,20.479
2015,191,1547,50,12.81,1853,1686.3,20.502
2015,191,1547,52,12.82,1926.5,1753.2,20.502
2015,191,1547,54,12.81,1995.3,1815.8,20.502
2015,191,1547,56,12.81,2067.9,1880.9,20.479
2015,191,1547,58,12.82,2153,1958.8,20.49
2015,191,1548,0,12.82,2232.9,2031,20.479
2015,191,1548,2,12.82,2340.8,2129.6,20.49
2015,191,1548,4,12.82,2389,2173.5,20.49
2015,191,1548,6,12.82,2453.3,2231.5,20.479
2015,191,1548,8,12.81,2541.5,2311.7,20.479
2015,191,1548,10,12.82,2618,2381.3,20.479
2015,191,1548,12,12.83,2683.8,2441.7,20.49
2015,191,1548,14,12.81,2716.9,2471.2,20.479
2015,191,1548,16,12.81,2811.3,2557.7,20.49
2015,191,1548,18,12.82,2862.9,2604.8,20.492
2015,191,1548,20,12.82,2877.9,2619.1,20.503
2015,191,1548,22,12.82,2947.5,2682.4,20.503
2015,191,1548,24,12.82,2962,2695.7,20.503
2015,191,1548,26,12.82,2989.2,2719,20.48
2015,191,1548,28,12.82,2998.5,2727.4,20.48
2015,191,1548,30,12.82,3018.1,2746,20.492
2015,191,1548,32,12.82,3020,2747.7,20.492
2015,191,1548,34,12.82,3017.4,2746,20.503
2015,191,1548,36,12.82,2997.7,2727.4,20.492
2015,191,1548,38,12.82,2989.2,2719,20.48
2015,191,1548,40,12.82,2978.9,2709,20.469
2015,191,1548,42,12.82,2948.9,2682.4,20.48
2015,191,1548,44,12.82,2925.5,2661.1,20.48
2015,191,1548,46,12.82,2901.3,2638.3,20.469
2015,191,1548,48,12.82,2880.4,2620.7,20.492
2015,191,1548,50,12.82,2858.6,2601.6,20.503
2015,191,1548,52,12.82,2823.1,2568.5,20.492
2015,191,1548,54,12.82,2793.2,2540.7,20.48
2015,191,1548,56,12.82,2759.6,2510.2,20.48
2015,191,1548,58,12.82,2728.2,2481.6,20.48
2015,191,1549,0,12.82,2684.6,2443.2,20.503
2015,191,1549,2,12.82,2648.6,2409.8,20.492
2015,191,1549,4,12.82,2602.6,2368.5,20.503
2015,191,1549,6,12.82,2562.5,2330.9,20.48
2015,191,1549,8,12.82,2519.6,2291.3,20.469
2015,191,1549,10,12.82,2483.6,2259.1,20.48
2015,191,1549,12,12.81,2471.9,2248.5,20.48
2015,191,1549,14,12.82,2427.4,2208,20.48
2015,191,1549,16,12.82,2399.8,2182.3,20.469
2015,191,1549,18,12.82,2357,2144.5,20.492
2015,191,1549,20,12.81,2328.3,2117.3,20.469
2015,191,1549,22,12.82,2295.5,2088,20.48
2015,191,1549,24,12.82,2242.4,2039.1,20.469
2015,191,1549,26,12.82,2217.4,2017,20.48
2015,191,1549,28,12.81,2193.9,1995,20.469
2015,191,1549,30,12.82,2168.3,1972.3,20.48
2015,191,1549,32,12.82,2159,1964.4,20.492
2015,191,1549,34,12.82,2130.1,1937.6,20.48
2015,191,1549,36,12.82,2108.8,1917.7,20.469
2015,191,1549,38,12.81,2071.9,1884.1,20.469
2015,191,1549,40,12.82,2069.7,1883.1,20.492
2015,191,1549,42,12.82,2039.3,1855.4,20.492
2015,191,1549,44,12.82,2025.9,1842.8,20.48
2015,191,1549,46,12.82,2007.6,1826.1,20.48
2015,191,1549,48,12.81,1988.3,1808.6,20.48
2015,191,1549,50,12.82,1969.9,1792.3,20.492
2015,191,1549,52,12.81,1959.3,1782.2,20.48
2015,191,1549,54,12.82,1917.1,1744.3,20.492
2015,191,1549,56,12.82,1911.1,1738.4,20.48
2015,191,1549,58,12.81,1897.8,1726.7,20.492
2015,191,1550,0,12.82,1887.6,1716.9,20.48
2015,191,1550,2,12.82,1874.8,1705.4,20.48
2015,191,1550,4,12.82,1861.7,1693.9,20.492
2015,191,1550,6,12.81,1847.6,1680.6,20.48
2015,191,1550,8,12.82,1841.4,1674.9,20.48
2015,191,1550,10,12.82,1827.9,1662.7,20.48
2015,191,1550,12,12.81,1818.7,1654.3,20.48
2015,191,1550,14,12.82,1803.4,1640.4,20.48
2015,191,1550,16,12.8,1796.8,1634,20.469
2015,191,1550,18,12.81,1784.9,1623.9,20.492
2015,191,1550,20,12.82,1777.3,1616.6,20.48
2015,191,1550,22,12.82,1763.4,1604,20.48
2015,191,1550,24,12.81,1756.5,1597.7,20.48
2015,191,1550,26,12.82,1747.6,1589.7,20.48
2015,191,1550,28,12.82,1743.3,1586.1,20.492
2015,191,1550,30,12.81,1737.9,1580.8,20.48
2015,191,1550,32,12.82,1730.1,1573.7,20.48
2015,191,1550,34,12.81,1721.9,1566.7,20.492
2015,191,1550,36,12.82,1707.9,1553.5,20.48
2015,191,1550,38,12.81,1704.1,1550.1,20.48
2015,191,1550,40,12.81,1700.3,1546.6,20.48
2015,191,1550,42,12.82,1701.2,1547.5,20.48
2015,191,1550,44,12.8,1698.8,1544.9,20.469
2015,191,1550,46,12.81,1695.5,1542.3,20.48
2015,191,1550,48,12.8,1692.7,1539.7,20.48
2015,191,1550,50,12.81,1680,1528.5,20.492
2015,191,1550,52,12.81,1679,1527.7,20.492
2015,191,1550,54,12.82,1678.1,1526.8,20.492
2015,191,1550,56,12.8,1672.9,1521.7,20.48
2015,191,1550,58,12.81,1670.6,1520,20.492
2015,191,1551,0,12.8,1665.4,1514.9,20.48
2015,191,1551,2,12.81,1662.1,1511.5,20.469
2015,191,1551,4,12.81,1658,1508.1,20.48
2015,191,1551,6,12.81,1646,1497.2,20.48
2015,191,1551,8,12.81,1642.3,1493.8,20.48
2015,191,1551,10,12.81,1639.5,1491.3,20.48
2015,191,1551,12,12.81,1645.5,1497.2,20.492
2015,191,1551,14,12.81,1642.6,1493.8,20.47
2015,191,1551,16,12.81,1636.7,1488.8,20.482
2015,191,1551,18,12.8,1637.1,1488.8,20.47
2015,191,1551,20,12.8,1633.1,1485.5,20.482
2015,191,1551,22,12.81,1629,1482.2,20.493
2015,191,1551,24,12.81,1627.1,1479.7,20.47
2015,191,1551,26,12.81,1624.9,1478,20.482
2015,191,1551,28,12.81,1623,1476.4,20.482
2015,191,1551,30,12.81,1619.4,1473.1,20.482
2015,191,1551,32,12.81,1616.7,1470.6,20.482
2015,191,1551,34,12.81,1615.8,1469.8,20.482
2015,191,1551,36,12.8,1615.3,1469,20.47
2015,191,1551,38,12.81,1611.7,1465.6,20.47
2015,191,1551,40,12.8,1610.3,1464.8,20.482
2015,191,1551,42,12.81,1608.5,1463.2,20.482
2015,191,1551,44,12.81,1607.2,1462.4,20.493
2015,191,1551,46,12.81,1606.7,1461.6,20.482
2015,191,1551,48,12.81,1603.6,1458.3,20.47
2015,191,1551,50,12.81,1596.5,1452.6,20.493
2015,191,1551,52,12.81,1595.1,1451,20.482
2015,191,1551,54,12.81,1588.9,1445.3,20.482
2015,191,1551,56,12.8,1599.6,1455,20.482
2015,191,1551,58,12.81,1598.7,1454.2,20.482
2015,191,1552,0,12.8,1596.9,1452.6,20.482
2015,191,1552,2,12.81,1589.8,1446.1,20.482
2015,191,1552,4,12.81,1593.3,1449.3,20.482
2015,191,1552,6,12.81,1595.6,1451.8,20.493
2015,191,1552,8,12.81,1595,1450.1,20.459
